ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSize,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
21377003,1,0,0,0,0,0,66,4356,0.875,0.958333333,15.89285714,6.25,7,7,7,6.5,7,6,0.799915576,-0.380747878,-0.461068672,1.796321829,0.360710189,0.380617772,0.804091871,3133,0,20,1,0,0,1,0,0,0,524,487,9,9
22377206,0,0,0,0,1,0,70,4900,0.875,0.911904762,4,4.25,5.25,5,4.75,5,5,3.75,0.626396061,-0.31722805,-0.571217467,0.787502617,0.028000283,-0.352470109,0.930230677,5428,1,19,1,0,0,0,0,0,1,524,496,10,10
22377053,0,0,0,1,0,0,66,4356,0.9375,0.836120401,13.57142857,6,7,7,7,5.75,7,2.25,1.771896959,0.112394195,-0.493239645,2.029119888,-0.167227081,0.140521779,0.807450831,5311,0,19,1,0,0,0,1,0,0,529,507,17,5
22377333,0,1,0,0,0,0,70,4900,0.9375,0.916666667,6.857142857,6,3.75,5.5,5.5,6.25,6.5,6.5,1.209501529,0.540387878,0.281201465,2.376645312,1.357575528,0.95631548,0.880584002,5195,0,19,1,0,0,0,1,0,0,425,507,7,7
sy2314105,1,0,0,0,0,0,70,4900,0.875,0.817307692,13.64285714,6.75,7,6,7,7,7,5.75,1.392468031,0.783367796,0.502494176,4.881595205,1.202675835,1.385903714,0.776823342,3119,0,22,0,1,0,0,0,0,1,524,461,6,6
21377255,1,0,0,0,0,0,62,3844,0.875,0.915,2.285714286,1.25,6.5,5,5.5,6.25,6.75,1.25,0.371448905,-0.262774684,-0.455009254,2.053304028,0.037007134,0.232264912,0.904723763,4201,0,19,1,0,0,0,0,0,1,524,538,20,8
21377174,1,0,0,0,0,0,58,3364,1,0.827468231,3.535714286,2.75,6.5,5.5,4.25,3.5,6,2,1.153993166,0.116069992,-0.043808837,1.568418595,-0.030910308,0.08656489,0.941718042,4494,0,20,1,0,0,0,1,0,0,660,580,7,7
21377185,1,0,0,0,0,0,58,3364,1,0.588235294,6.857142857,4.75,7,7,7,4,4,2.25,0.649217458,-0.399482476,-0.602110335,1.124890451,0.18974871,0.088737688,0.649557829,3361,1,20,1,0,0,0,0,1,0,500,507,15,3
22377333,0,0,0,1,0,0,62,3844,1,0.866428571,6.142857143,5.5,5.25,5.25,6,6.5,6.25,4,-0.13589694,-1.57997211,-2.497578623,0.18665916,-0.398345135,-0.621798757,0.978380859,5195,0,19,1,0,0,0,1,0,0,425,507,15,3
sy2314105,1,0,0,0,0,0,66,4356,1,0.882352941,14.53571429,7,7,6.75,7,7,7,6,-0.11578017,-0.771334216,-0.746186215,1.072747214,-0.383120765,-0.115148311,0.943006039,3119,0,22,0,1,0,0,0,0,1,524,461,15,3
22377005,1,0,0,0,0,0,58,3364,0.9375,0.819805195,3.607142857,4.5,4.75,4.5,4.5,4.25,5.75,4,0.173516043,-0.198732377,-0.298920914,2.510862272,0.487818378,0.765810131,0.961071372,6333,0,18,1,0,0,1,0,0,0,443,507,24,12
22377206,0,0,0,0,0,1,62,3844,0.9375,0.838112306,-9.857142857,1,3.25,1.75,1,2.5,2.5,1.75,0.580365617,0.130335825,-0.091391182,2.15690834,0.427764687,0.384339414,0.966139078,5428,1,19,1,0,0,0,0,0,1,524,496,7,7
22377333,1,0,0,0,0,0,62,3844,0.9375,0.9375,7.428571429,6.25,4.25,5,6.5,6.75,7,5.25,0.471017827,-0.289959919,-0.286741432,3.246697949,0.377745026,0.856511702,0.930613339,5195,0,19,1,0,0,0,1,0,0,425,507,19,7
22377005,0,0,0,0,0,1,70,4900,0.875,0.666666667,6.071428571,5.25,5.75,5.75,5.5,4.5,5.25,3.75,1.658534054,-0.009379387,0.800117777,1.491346596,0.091057071,0.258280553,0.701078057,6333,0,18,1,0,0,1,0,0,0,443,507,16,4
21377171,0,0,0,0,1,0,70,4900,0.875,0.704166667,8.071428571,5.5,6,6.75,5.25,5.5,6,4.25,1.484918571,-0.148018254,-0.354205111,1.737857372,-0.142152296,0.020013979,0.685823202,4767,0,20,1,0,0,0,1,0,0,524,535,7,7
21377184,0,0,0,0,0,1,62,3844,0.875,0.9125,-3.714285714,2.25,2.75,5.5,3.5,4,3.25,2.25,0.781057554,0.047004552,-0.225395794,1.982800615,-0.074055775,0.227213215,0.686762393,3538,1,21,1,0,0,1,0,0,0,486,507,2,2
22377333,0,0,0,1,0,0,66,4356,0.9375,0.684782609,6,6,5.25,5.75,6,5.5,5.5,4.5,0.471017827,-0.16551174,-0.135088528,0.640784195,-0.709443834,-0.392535942,0.878636956,5195,0,19,1,0,0,0,1,0,0,425,507,4,4
22377201,0,0,1,0,0,0,70,4900,1,0.877705628,11.14285714,6.75,5.75,7,7,5.75,5,4.75,0.26298637,-0.493951906,-0.498116196,1.848932894,0.175957726,-0.049965183,0.951241493,5381,1,20,1,0,0,0,1,0,0,512,507,19,7
22377005,0,0,0,0,1,0,70,4900,0.9375,0.484090909,2.25,4.75,4.75,4.5,4.25,4,5.25,3.25,1.186475349,0.094534645,0.225967011,1.661812239,0.742243101,0.459920179,0.688411951,6333,0,18,1,0,0,1,0,0,0,443,507,13,1
21377184,0,0,0,1,0,0,62,3844,0.8125,0.553571429,1.357142857,5.25,5,5.25,4.75,4.5,4,3.25,-1.628377792,-1.323314853,-2.77856092,1.114214046,-0.062792772,-0.062792772,0.573937058,3538,1,21,1,0,0,1,0,0,0,486,507,7,7
21379216,1,0,0,0,0,0,62,3844,0.875,0.908684547,0.5,4,5,5,4,3.75,4,2.75,0.824549677,0.113188433,-0.041204373,1.546011385,0.207363234,0.250360261,0.949227214,4343,1,20,1,0,0,0,1,0,0,514,432,21,9
22377201,0,1,0,0,0,0,66,4356,0.9375,0.925066313,9.071428571,4.25,6.75,6.5,7,4.5,6,3.75,0.630258197,-1.310685025,-1.365201472,1.615214459,-0.742872101,-1.275445966,0.990923166,5381,1,20,1,0,0,0,1,0,0,512,507,16,4
21377185,0,0,0,0,0,1,62,3844,1,0.80707196,1.214285714,4.25,6.25,6.25,3,5,4,1,1.438230597,0.935020979,0.822687093,2.064910889,1.231897348,1.285736105,0.727286637,3361,1,20,1,0,0,0,0,1,0,500,507,1,1
21377187,0,0,0,0,1,0,66,4356,0.875,1,1.321428571,2,6,5.75,3,4.5,5,2.5,0.778542478,-0.228131067,-0.964309988,1.19362294,0.10251962,-0.14299163,0.998910189,3829,1,21,1,0,0,0,1,0,0,590,507,10,10
21377181,0,0,0,0,1,0,70,4900,0.9375,0.839285714,12.85714286,6,7,7,7,5.5,7,5,0.645561547,-0.188337741,-0.483198114,1.186867285,-0.107847664,-0.05787229,0.941338778,3697,1,20,1,0,0,0,1,0,0,524,520,24,12
21377185,0,0,0,1,0,0,66,4356,0.9375,0.920122888,14.71428571,5.25,7,7,7,4.75,7,7,2.763319648,1.431987026,1.502118301,1.551486072,0.885166363,0.796227506,0.944526613,3361,1,20,1,0,0,0,0,1,0,500,507,19,7
21377185,0,0,0,0,0,1,66,4356,1,0.5,0.892857143,4.75,4,7,4.25,3.75,1,5.25,1.045611619,0.374992397,0.190721546,1.230595561,0.552588851,0.778066078,0.640964866,3361,1,20,1,0,0,0,0,1,0,500,507,14,2
22377201,0,0,0,0,0,1,62,3844,1,0.858974359,9.178571429,6.75,7,6,5.75,4.25,5.75,3.5,1.039265458,-0.21375154,-0.297250467,1.815544546,0.352980594,0.20858125,0.963079095,5381,1,20,1,0,0,0,1,0,0,512,507,9,9
21377255,0,0,0,0,1,0,70,4900,0.8125,0.549242424,1.892857143,1.25,6.75,5.25,5.5,5.5,6.75,1,-0.388336523,-0.653892595,-1.088125949,1.581204344,-0.033674988,0.099595772,0.557555199,4201,0,19,1,0,0,0,0,0,1,524,538,14,2
21081004,0,0,0,0,0,1,70,4900,0.875,0.891666667,3.714285714,3.25,6,5,5.75,5.25,5,3,0.439299665,-0.758105558,-0.954290594,2.012162458,0.111425652,0.245047486,0.95080483,4935,0,20,1,0,0,0,0,1,0,524,450,18,6
22377260,0,0,0,1,0,0,66,4356,0.875,0.854166667,12.42857143,6.75,7,7,7,6.5,7,3.75,0.565070587,-0.355279064,-0.69748673,0.38171164,0.058541497,-0.251564321,0.887885571,4650,0,18,1,0,0,0,0,1,0,460,507,23,11
22377260,1,0,0,0,0,0,70,4900,0.75,0.970588235,13.82142857,7,6.5,6.75,7,6.25,7,6,-0.947640721,-2.032466738,-1.792758775,-0.78261767,-1.656114687,-2.234884488,0.916751981,4650,0,18,1,0,0,0,0,1,0,460,507,21,9
zy2342116,0,0,0,1,0,0,66,4356,0.75,0.980769231,-0.392857143,3,5.25,5.5,3,2.75,4.5,3.25,0.761782163,-0.347459642,0.008186958,0.66420683,-0.301685162,-0.555103678,0.997618735,4573,1,23,0,1,0,1,0,0,0,524,536,10,10
21379216,1,0,0,0,0,0,58,3364,0.9375,0.926470588,-0.928571429,3.25,5,5,3.5,2.75,4.25,2.75,0.93998355,0.312644846,0.021167155,3.746469594,1.191879266,1.170262348,0.989021063,4343,1,20,1,0,0,0,1,0,0,514,432,2,2
22377201,0,0,0,1,0,0,58,3364,1,0.840725806,11.85714286,7,6.5,6.75,7,5.25,4.75,5.5,0.922406241,-0.589911501,-0.606414907,1.072653806,0.078952977,-0.118892858,0.989762127,5381,1,20,1,0,0,0,1,0,0,512,507,20,8
