ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSpeak,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
22374085,0,1,0,0,0,0,70,4900,0.6875,0.257738095,0.392857143,5.5,4.5,5.75,5.5,5.25,6.5,1.75,0.099603657,-0.562935673,-0.777663937,0.566815843,0.018497494,-0.306745182,-0.025292741,4395,0,19,1,0,0,0,0,0,1,545,523,7,7
22374085,0,0,0,1,0,0,66,4356,0.8125,0.426477894,2.642857143,5.25,5.5,4.75,6.25,5.25,6,6.25,0.58506632,-0.130021491,0.345407898,1.180031838,0.089163846,-0.177246456,-0.03481989,4395,0,19,1,0,0,0,0,0,1,545,523,4,4
20377359,1,0,0,0,0,0,62,3844,0.8125,0.339880952,2.857142857,3.75,7,6.75,5.25,4.5,6.75,3.25,0.222250251,-0.239011726,-0.296101001,1.436109342,0.817937225,0.525034768,0.02212007,3539,0,22,1,0,0,0,1,0,0,556,523,7,7
21377163,0,0,0,1,0,0,58,3364,0.875,0.417039245,5.357142857,3.25,6,5,5.25,1.75,5.25,3,1.804111381,0.368480631,0.789855553,1.153992501,0.61727374,0.363462954,-0.04123817,4904,1,20,1,0,0,0,0,1,0,438,523,4,4
20377292,0,0,0,0,1,0,62,3844,0.8125,0.632106782,2,3.5,6,5,5,5,5.25,2,0.563904581,-0.148059604,-0.237411289,0.902122715,-0.404666139,-0.057622644,0.081065148,4467,1,20,1,0,0,1,0,0,0,500,523,15,3
sy2308220,0,0,0,0,1,0,58,3364,0.875,0.318716578,6.678571429,4,5.25,5.75,5.5,5.5,6.5,2.5,0.933415351,0.552625,0.389415275,2.152070371,0.346534554,0.772506678,0.138251886,3752,0,23,0,1,0,0,0,1,0,530,500,2,2
21377086,0,0,0,0,1,0,70,4900,0.625,0.26984127,0.642857143,3.5,5,4.75,6,3.75,5,3,0.871798228,0.033600785,0.066013548,1.255663613,-0.041657697,0.130878389,0.051837638,4101,0,20,1,0,0,1,0,0,0,500,500,15,3
21377172,0,1,0,0,0,0,58,3364,0.75,0.497249809,-2.785714286,7,7,6.75,7,7,7,6.75,0.479480812,0,0,1.389686545,0,0,0.105626039,4773,0,21,1,0,0,1,0,0,0,650,580,2,2
sy2308207,0,0,0,0,1,0,66,4356,0.8125,0.342373792,-10.60714286,2.75,5,4.5,3.25,3.5,3.75,2,0.235443249,-0.275782039,-0.460504841,2.63675331,0.57541622,0.719782345,0.035846546,3383,1,23,0,1,0,0,0,1,0,478,557,6,6
22377202,0,0,1,0,0,0,62,3844,0.8125,0.294117647,11.78571429,6,6,7,6,6,6,5,-0.608190417,-1.305071079,-0.780721968,-0.277414593,-0.526996334,-1.000172766,0.067171387,3744,1,18,1,0,0,0,1,0,0,610,537,3,3
21377172,0,0,1,0,0,0,70,4900,0.75,0.746524064,-1.285714286,7,6.75,6.75,7,7,7,6.75,0.330851563,0,0,1.491676917,0,0,0.870958686,4773,0,21,1,0,0,1,0,0,0,650,580,24,12
by2308108,0,1,0,0,0,0,62,3844,0.875,0.520015699,3.535714286,1,6.75,6,5.75,5.75,6,1,1.213042082,0.210154231,0.430173162,2.159465511,0.82603032,0.733200456,0.008140234,5214,1,23,0,0,1,0,0,1,0,556,525,1,1
21377035,0,0,1,0,0,0,62,3844,0.875,0.366997708,8.678571429,7,7,6.25,7,5,6.25,4.75,1.368208808,0.574669065,0.558830515,1.532915532,0.914048893,0.671502315,0.087600119,4206,0,20,1,0,0,0,0,1,0,602,520,2,2
21377242,0,0,0,0,0,1,62,3844,0.8125,0.708639899,4.035714286,4.75,3.25,3,3.25,3.25,4.25,3,-0.010355156,-0.365493143,-0.066578289,1.429581939,0.052622754,0.236885439,0.086655408,3895,1,20,1,0,0,1,0,0,0,550,500,14,2
sy2308207,1,0,0,0,0,0,62,3844,0.9375,0.667379679,7.678571429,5.25,5.75,5.25,5.25,5,5.75,3.75,-0.153629774,-0.533077722,-0.758296683,1.390503785,-0.049460067,0.069329009,0.870485365,3383,1,23,0,1,0,0,0,1,0,478,557,24,12
21377242,0,0,1,0,0,0,70,4900,0.75,0.796791444,8.678571429,4.5,3,4.5,4.5,4.25,4.5,4.25,-0.258899645,-0.422936629,-0.584109372,0.525863298,-0.096727858,-0.231764223,0.955263019,3895,1,20,1,0,0,1,0,0,0,550,500,24,12
by2308108,0,0,0,0,0,1,58,3364,0.75,0.520954499,2.892857143,4,6.5,5.25,6,5.5,5.75,1.5,-0.324456202,-1.2562934,-1.522303534,0.804918968,-0.385474955,-0.361039101,0.099618398,5214,1,23,0,0,1,0,0,1,0,556,525,18,6
by2308111,0,0,1,0,0,0,58,3364,0.8125,0.314756672,-10.60714286,1,1,1,1,1,1,1,1.736211917,1.36809517,1.041291018,1.77545442,0.56278111,0.66256402,-0.042473696,3398,1,22,0,0,1,0,1,0,0,580,510,1,1
22374085,0,0,0,0,1,0,70,4900,0.8125,0.43125,0.964285714,4.75,4.75,4.5,4.25,4,5.25,3.25,0.898974507,0.291763621,0.212424145,2.950328012,0.488848319,0.534586115,-0.012521859,4395,0,19,1,0,0,0,0,0,1,545,523,13,1
21377242,1,0,0,0,0,0,58,3364,0.875,0.651763537,7.892857143,4,3.75,5,4.5,3.25,5.25,2,1.070273058,1.011063511,0.965041652,1.575466748,1.162847796,1.166680657,-0.023087004,3895,1,20,1,0,0,1,0,0,0,550,500,4,4
21377242,0,0,0,1,0,0,66,4356,0.6875,0.609953366,7.571428571,5.5,3.25,5.25,5.25,5,4.75,5.5,0.07339353,-0.436029791,-0.455163315,1.269880912,0.35022908,0.124961732,0.118754625,3895,1,20,1,0,0,1,0,0,0,550,500,8,8
20377359,0,0,0,0,0,1,70,4900,0.875,0.641703924,0.714285714,2,6,5.5,4.25,4.75,6,1.75,-0.247630688,-0.335632852,-0.423709541,3.083955688,1.08478374,1.564041997,-0.031893931,3539,0,22,1,0,0,0,1,0,0,556,523,4,4
by2308111,0,0,0,1,0,0,70,4900,0.75,0.16921314,2.928571429,4,4,4,4,4,4,4,1.076937858,0.764655422,0.636599215,2.171803705,0.904568755,1.178949894,0.104027927,3398,1,22,0,0,1,0,1,0,0,580,510,2,2
21377035,0,0,0,0,0,1,62,3844,0.75,0.587121212,0.142857143,6.75,7,6,5.75,4.25,5.75,3.5,0.640205092,-0.268017508,-0.263971725,1.407738422,0.312797411,0.103835481,0.124337375,4206,0,20,1,0,0,0,0,1,0,602,520,9,9
21377172,0,0,0,1,0,0,66,4356,0.625,0.471436899,-3.928571429,7,7,6.75,7,7,7,6.25,0.384443906,0,0,1.250989299,0,0,0.114138991,4773,0,21,1,0,0,1,0,0,0,650,580,8,8
by2308145,0,0,1,0,0,0,62,3844,0.8125,0.64351379,2.714285714,3.5,4.25,4,4,3.25,4,3,-0.408619619,-0.723987161,-0.737073695,0.283058717,-0.299767929,-0.304927982,0.165189162,5698,1,25,0,0,1,0,0,1,0,559,568,17,5
by2308111,0,0,0,0,1,0,66,4356,0.6875,0.534382484,-14.17857143,1,1,1,1,1,1,1,0.919967844,0.103481194,0.213681917,1.10440761,0.005561137,-0.044232525,0.090868257,3398,1,22,0,0,1,0,1,0,0,580,510,18,6
21377053,0,0,1,0,0,0,58,3364,0.75,0.46482684,-6.285714286,1,4,4.25,1.25,4.5,3.5,1.5,-0.291833739,-0.385771291,-0.537933982,1.649511961,0.057085498,0.330679888,0.119965978,4273,1,20,1,0,0,0,1,0,0,570,553,9,9
21377086,1,0,0,0,0,0,66,4356,0.5625,0.384090909,-6.892857143,4.75,5,4.5,5.75,5.25,5.25,4.25,0.170942777,-0.355305203,-0.150227628,0.932017682,-0.145144501,-0.065597923,0.039285846,4101,0,20,1,0,0,1,0,0,0,500,500,13,1
